dataset,experiment_stage,feature_set,optimization_method,model_family,model_name,classifier,n_runs,n_features_mean,accuracy_mean,accuracy_std,precision_handover_mean,precision_handover_std,recall_handover_mean,recall_handover_std,f1_handover_mean,f1_handover_std,f1_handover_min,f1_handover_max,dataset_short
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,KNN,KNN,5,32.0,0.7722658241895024,0.046955097567609,0.3703110611279167,0.05506776497503843,0.3027126214196346,0.05587491429168891,0.3298272269028799,0.04088232574878857,0.2935635792778649,0.3908147493928019,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,Logistic_Regression,Logistic_Regression,5,32.0,0.6921176710588989,0.052990170319179145,0.3310439798413237,0.032642946987115465,0.6411409544711703,0.05002636218837549,0.43581938172906626,0.034450475581629426,0.3912003825920612,0.4731533669534263,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,Random_Forest,Random_Forest,5,32.0,0.7683040950289406,0.055669391448720344,0.388795661701716,0.033682286733375665,0.39537429908628996,0.07208682328444793,0.38770159570812507,0.029152445482585596,0.361271676300578,0.4331530139103555,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,SVM,SVM,5,32.0,0.6873870264379922,0.049314133184047884,0.3275330504108062,0.03962461121723299,0.6434469113077187,0.03514814948110966,0.43301928163099823,0.03867007449164762,0.3853427895981087,0.4704455895725977,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,LSTM_deep_features,LSTM_as_feature_extractor,classical_ml,Decision_Tree,Decision_Tree,5,32.0,0.6903063967166128,0.054683605927040156,0.31207323345355553,0.03647952624755363,0.5511076579105083,0.0537752305390852,0.3976133180206266,0.038843004742145144,0.3460410557184751,0.4316118935837246,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,LSTM_deep_features,LSTM_as_feature_extractor,classical_ml,KNN,KNN,5,32.0,0.7779325125224645,0.0432519812376929,0.3720296458662422,0.04509585490094338,0.27351584971987225,0.040023939923252684,0.31377869669819464,0.0364446321831689,0.2657657657657657,0.3504424778761062,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,LSTM_deep_features,LSTM_as_feature_extractor,classical_ml,Logistic_Regression,Logistic_Regression,5,32.0,0.6889000228710043,0.06586373149727631,0.32032534932431866,0.026621197282702774,0.5932486792194588,0.05574203478788878,0.4154867066975193,0.0318403276785554,0.3763132760267431,0.4445099484156227,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,LSTM_deep_features,LSTM_as_feature_extractor,classical_ml,Random_Forest,Random_Forest,5,32.0,0.7707997616594937,0.046666790891619264,0.37773977450463325,0.029045525868123208,0.35169362192259124,0.052331913015345115,0.36275771465498735,0.03550375126186848,0.3113342898134864,0.3935395814376706,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,LSTM_deep_features,LSTM_as_feature_extractor,classical_ml,SVM,SVM,5,32.0,0.6882698325429812,0.061393886461866456,0.32012916263851726,0.028803497756389743,0.5994744746941955,0.06582014821718368,0.416761978887825,0.03645402043928827,0.3757808745795291,0.4589151844774364,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,TCN_deep_features,TCN_as_feature_extractor,classical_ml,Decision_Tree,Decision_Tree,5,32.0,0.672546268533884,0.022536268593182564,0.2839290591256366,0.04957230438412485,0.4952788868063953,0.04892791562797759,0.35723614034043616,0.03895323431828774,0.3173241852487135,0.4009274121633672,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,TCN_deep_features,TCN_as_feature_extractor,classical_ml,KNN,KNN,5,32.0,0.7604601114087916,0.038195852250418896,0.3128998995300942,0.054718347833405595,0.23426073335017833,0.028708695887942812,0.2658920749363756,0.030094634957690915,0.2236842105263158,0.3046218487394957,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,TCN_deep_features,TCN_as_feature_extractor,classical_ml,Logistic_Regression,Logistic_Regression,5,32.0,0.6822729778862722,0.023351474558103203,0.2978580451129553,0.0517751056047417,0.5227257108871267,0.07003696238249178,0.3761818417978914,0.048899524149592095,0.3336267605633803,0.4409226976580384,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,TCN_deep_features,TCN_as_feature_extractor,classical_ml,Random_Forest,Random_Forest,5,32.0,0.7612777512923987,0.035360083302400126,0.334123125255023,0.056188596964789554,0.2829149680245888,0.03324631352530094,0.30494745872021,0.03848968833867213,0.2728571428571428,0.3680830039525691,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,TCN_deep_features,TCN_as_feature_extractor,classical_ml,SVM,SVM,5,32.0,0.6737520438774274,0.01952263942106775,0.29581339921312433,0.05353452105038892,0.5455702413809604,0.061732414255318106,0.3803864351618681,0.04924699423792122,0.3319397993311037,0.4455222587909233,D2 Urban proxy
